year,date,survey_day,nlanes,reach
1999,1999-07-22,2,3,7
1999,1999-07-22,2,3,8
2000,2000-07-25,1,3,1
2000,2000-07-25,1,3,2
2000,2000-07-25,1,3,3
2000,2000-07-25,1,3,4
2000,2000-07-26,2,3,1
2000,2000-07-26,2,3,2
2000,2000-07-26,2,3,3
2000,2000-07-26,2,3,4
2000,2000-07-27,3,3,1
2000,2000-07-27,3,3,2
2000,2000-07-27,3,3,3
2000,2000-07-27,3,3,4
2000,2000-07-26,2,3,5
2000,2000-07-26,2,3,6
2000,2000-07-26,2,3,7
2000,2000-07-26,2,3,8
2001,2001-07-17,1,3,1
2001,2001-07-17,1,3,2
2001,2001-07-17,1,3,3
2001,2001-07-17,1,3,4
2001,2001-07-18,2,3,1
2001,2001-07-18,2,3,2
2001,2001-07-18,2,3,3
2001,2001-07-18,2,3,4
2001,2001-07-19,3,3,1
2001,2001-07-19,3,3,2
2001,2001-07-19,3,3,3
2001,2001-07-19,3,3,4
2001,2001-07-18,2,3,5
2001,2001-07-18,2,3,6
2001,2001-07-18,2,3,7
2001,2001-07-18,2,3,8
2002,2002-07-30,1,3,1
2002,2002-07-30,1,3,2
2002,2002-07-30,1,3,3
2002,2002-07-30,1,3,4
2002,2002-07-31,2,3,1
2002,2002-07-31,2,3,2
2002,2002-07-31,2,3,3
2002,2002-07-31,2,3,4
2002,2002-08-01,3,3,1
2002,2002-08-01,3,3,2
2002,2002-08-01,3,3,3
2002,2002-08-01,3,3,4
2002,2002-07-31,2,3,5
2002,2002-07-31,2,3,6
2002,2002-07-31,2,3,7
2002,2002-07-31,2,3,8
2003,2003-07-16,1,3,1
2003,2003-07-16,1,3,2
2003,2003-07-16,1,3,3
2003,2003-07-16,1,3,4
2003,2003-07-17,2,3,1
2003,2003-07-17,2,3,2
2003,2003-07-17,2,3,3
2003,2003-07-17,2,3,4
2003,2003-07-18,3,3,1
2003,2003-07-18,3,3,2
2003,2003-07-18,3,3,3
2003,2003-07-18,3,3,4
2003,2003-07-17,2,3,5
2003,2003-07-17,2,3,6
2003,2003-07-17,2,3,7
2003,2003-07-17,2,3,8
2004,2004-07-14,1,3,1
2004,2004-07-14,1,3,2
2004,2004-07-14,1,3,3
2004,2004-07-14,1,3,4
2004,2004-07-15,2,3,1
2004,2004-07-15,2,3,2
2004,2004-07-15,2,3,3
2004,2004-07-15,2,3,4
2004,2004-07-16,3,3,1
2004,2004-07-16,3,3,2
2004,2004-07-16,3,3,3
2004,2004-07-16,3,3,4
2004,2004-07-15,2,3,5
